P6,All in good time , 灼眼的夏娜S （OVA）ED 
P9,Anime piano medley , Anime piano 串烧
P10, 善意的忘却 , 凉宫春日的消失 ED 
P12, Magia , 魔法少女小圆 ED 
P14, Sis puella magica! , 魔法少女小圆 OST 
P17, Sagitta luminis , 魔法少女小圆 OST 
P22, Light my Fire , 灼眼的夏娜 III Op 
P33, 優しさの理由 , 冰菓 OP 
P35, 在黎明前苏醒的少女 , 灼眼的夏娜 ED1 
P41, 君にまつわるミステリー , 冰菓 ED 2 
P42, 未完成ストライド , 冰菓 OP 2 
P45, Sparkling Daydream , 中二病也要谈恋爱 OP 
P60, Brave Heart , 数码宝贝进化曲 
P66, 灼眼的夏娜串烧 , All OP 
P79, The Reluctant Heroes , 进击的巨人 OST 
P81, Allegro Cantabile Sound , 交响情人梦 OP 
P84, Pierce the heavens with your drill!! , 天元突破 红莲螺岩 OST 
P92, 魔法少女小圆 , Soundtrack Medley 
P95, 请问您今天要来点兔子吗？, OST 
P98, Swordland (Main Theme), 刀剑神域 OST
P101,  God knows... , 凉宫春日的忧郁 
P106,  光るなら , 四月是你的谎言 OP 
P107, Medley , 凉宫春日的忧郁 
